length,radius,LRratio,MaxCurv,MinCurv,EqCCval
0.01,0.001,10.0,0.8089921329205496,0.7018888956463852,0.7292773806962706
0.108,0.01,10.8,0.8166697181606107,0.7014447351474267,0.7338372827654677
0.059,0.005,11.8,0.8261497336339514,0.7040282255380726,0.7391677816491051
0.108,0.009,12.0,0.8283582164158402,0.7024138312768493,0.7400630777667994
0.108,0.008,13.5,0.8436538496446868,0.7010933689786002,0.7482345514825989
0.059,0.004,14.75,0.8561969573598239,0.7041178096085328,0.7546749732159186
0.108,0.007,15.429,0.8637447219203811,0.7003865770277626,0.7589527171960716
0.157,0.01,15.7,0.8669832683035799,0.6968325194504899,0.7603313048980861
0.157,0.009,17.444,0.885201920632194,0.7002414467105117,0.7703283822891764
0.108,0.006,18.0,0.8911238027186075,0.7006243318762098,0.7731643886964381
0.157,0.008,19.625,0.9087313597655708,0.7015762996702437,0.7838470899681601
0.059,0.003,19.667,0.9096452357812228,0.6972529708269587,0.7818646091995873
0.206,0.01,20.6,0.9199314197912125,0.6975710159706209,0.7875892942242468
0.108,0.005,21.6,0.9309499073367737,0.6981640179764527,0.7931100927699696
0.157,0.007,22.429,0.940298223050312,0.6975574014192975,0.7988899348465085
0.206,0.009,22.889,0.945292584083989,0.6991773817075027,0.8012377553362343
0.255,0.01,25.5,0.9753094934872919,0.6969643752885206,0.8148853324903953
0.206,0.008,25.75,0.9781965402812821,0.6967357061534327,0.8165067115455541
0.157,0.006,26.167,0.983037954610674,0.6966122614543282,0.8212077053306142
0.108,0.004,27.0,0.9930292058311706,0.693624863262299,0.8241980590722643
0.255,0.009,28.333,1.0083223005296762,0.6963204624594677,0.8328523342357428
0.206,0.007,29.429,1.0210911509020097,0.6975604973163105,0.8392181920396314
0.059,0.002,29.5,1.0218834002328792,0.6979040552945902,0.8382279253857748
0.304,0.01,30.4,1.0328707309943668,0.6957268133470811,0.8434855370148728
0.157,0.005,31.4,1.0447037071220595,0.6970099854051589,0.8497399422884567
0.255,0.008,31.875,1.050781223647472,0.6936717554635683,0.8532287250599263
0.304,0.009,33.778,1.073850337248907,0.6945134726124318,0.8639137320630956
0.206,0.006,34.333,1.0804795086695298,0.6959287157108429,0.866952492750937
0.353,0.01,35.3,1.0928716712780941,0.6919837153622619,0.8735775454092426
0.108,0.003,36.0,1.1012832138333166,0.6943483485672266,0.8776213635508013
0.255,0.007,36.429,1.1067833582046627,0.6931332665612112,0.8802216317311606
0.304,0.008,38.0,1.1267710217073958,0.6912369387993582,0.8900374030591862
0.353,0.009,39.222,1.14258166574847,0.6890325743666357,0.8971355310512447
0.157,0.004,39.25,1.1426851853532922,0.6914264920166551,0.8967343369403418
0.402,0.01,40.2,1.1545637900826946,0.694480664634039,0.9032590514317657
0.206,0.005,41.2,1.1680732470880555,0.6895161600993054,0.910480128425764
0.255,0.006,42.5,1.185244677811668,0.6881897973552706,0.9181281715087555
0.304,0.007,43.429,1.1976638150182213,0.6868106749579874,0.9240901007716803
0.353,0.008,44.125,1.207339819827511,0.682974150963606,0.9295057698030005
0.402,0.009,44.667,1.214355816674628,0.6853550333303755,0.932382383419468
0.451,0.01,45.1,1.220297107287116,0.6844093168781602,0.9357238059552302
0.5,0.01,50.0,1.2886347828215376,0.6774157920884503,0.9676556528879359
