length,radius,LRratio,MaxCurv,MinCurv,EqCCval
0.01,0.001,10.0,0.46625377503701343,0.4312236646906657,0.4353428500152151
0.108,0.01,10.8,0.48729268276312204,0.44158508986860834,0.45097971290988603
0.059,0.005,11.8,0.49082396888018787,0.4432258666794327,0.45391737716799946
0.108,0.009,12.0,0.49190863175397886,0.44017371413695344,0.45344388150685166
0.108,0.008,13.5,0.4973726378204978,0.4426914481274752,0.45832742183182384
0.059,0.004,14.75,0.5023378258416061,0.4416250461448517,0.459168355643188
0.108,0.007,15.429,0.5050183213309418,0.44139357303211135,0.4620136235269015
0.157,0.01,15.7,0.5058631975427318,0.4433741966004124,0.46224311554228903
0.157,0.009,17.444,0.5128423185125944,0.44288844664438953,0.46533040084947475
0.108,0.006,18.0,0.5152523755767843,0.44114609765568197,0.4665006683066084
0.157,0.008,19.625,0.5219198628308688,0.44015446737819264,0.46952495526362625
0.059,0.003,19.667,0.5222940992256917,0.43818681499298684,0.46961101203271777
0.206,0.01,20.6,0.5257813035312973,0.4409353184907636,0.47218984649452245
0.108,0.005,21.6,0.5297989661599886,0.44131180457553043,0.4729912330799149
0.157,0.007,22.429,0.5330319567205978,0.44290050580838725,0.4756867865118995
0.206,0.009,22.889,0.5348785196269589,0.44145058695065365,0.47710402198340535
0.255,0.01,25.5,0.5457334394144951,0.4422459253230172,0.481361614239183
0.206,0.008,25.75,0.5467087923043735,0.44298813047246555,0.48218176002754176
0.157,0.006,26.167,0.5486873119554264,0.44066500125964536,0.4837931972093059
0.108,0.004,27.0,0.552186181025083,0.4403702359816263,0.4843511059559003
0.255,0.009,28.333,0.5563819218058073,0.4411612190318288,0.48757966718496193
0.206,0.007,29.429,0.5621553978402837,0.4416855720720577,0.4907285415363542
0.059,0.002,29.5,0.5623799267057351,0.44219335913520413,0.49005515925248605
0.304,0.01,30.4,0.5662260956731402,0.44159584583926553,0.49252044955670243
0.157,0.005,31.4,0.5703227526745875,0.4426114837940201,0.49557400322158834
0.255,0.008,31.875,0.5725115397154483,0.44078961325918686,0.49584453944551216
0.304,0.009,33.778,0.5804922028917677,0.4413938934997569,0.4995913967724735
0.206,0.006,34.333,0.5808820007906293,0.44291908655335943,0.4996125074505346
0.353,0.01,35.3,0.5869012345249617,0.4416038765039213,0.5026606836572722
0.108,0.003,36.0,0.589922621940191,0.4411725851730818,0.5038371673435362
0.255,0.007,36.429,0.5916699845614911,0.4410175744292425,0.5054548749422898
0.304,0.008,38.0,0.5983468188691745,0.44209595106472743,0.5083508518904093
0.353,0.009,39.222,0.6035973389604898,0.44189294081129804,0.5112395746714029
0.157,0.004,39.25,0.6038126567017539,0.44094211700136254,0.5117425748146037
0.402,0.01,40.2,0.6075974931968798,0.4436931681135236,0.512190230668004
0.206,0.005,41.2,0.6117411388387017,0.442731946824347,0.5151352828576947
0.255,0.006,42.5,0.6176484760929558,0.44212384848957126,0.5173851337242392
0.304,0.007,43.429,0.6218179629370921,0.4407484680687741,0.5205062222165426
0.353,0.008,44.125,0.6247610561235054,0.44120782643503953,0.5213832469797346
0.402,0.009,44.667,0.626891240976039,0.4433701540309953,0.5220192350267181
0.451,0.01,45.1,0.6293780546699093,0.4377537115251424,0.5244000063595999
0.5,0.01,50.0,0.650625501192146,0.4386305567571803,0.5350486220723314
