Length,radius,lrratio,TDL,Fratio,intercept,AvgCurv,pade_12,pade_22,pade_31,pade_32,pade_13,pade_23,-22/inter,pade_22/2,pade222-inter,pcterr,pade_22/2_adj,adj22/inter,adj22_pcterr,test,ln(lr(x-12.5))
0.01,0.001,10,0.000325605,5,33.59345248,32.56053909,-69.50456159,-68.40869073,915.5153325,-68.47882739,-71.78581635,-66.17138739,2.036369759,34.20434537,0.610892885,-1.818487949,34.20760142,1.018281805,-1.828180475,31.0674853,0
0.01,0.001,10,0.000325605,5,33.59345248,32.56053909,-69.50456159,-68.40869073,915.5153325,-68.47882739,-71.78581635,-66.17138739,2.036369759,34.20434537,0.610892885,-1.818487949,34.20760142,1.018281805,-1.828180475,31.0674853,0
0.01,0.001,10,0.000315427,5,32.4415496,31.54273756,-67.19487399,-66.16752428,918.2547281,-66.23103841,-69.32640873,-64.07152777,2.039591977,33.08376214,0.64221254,-1.979598842,33.08691641,1.019893218,-1.989321786,30.1388839,0
0.01,0.001,10,0.000463676,7,48.41200743,46.36755517,-101.7530509,-99.49856576,877.6261532,-99.71232325,-106.663802,-94.8525295,2.05524561,49.74928288,1.337275449,-2.762280516,49.75391963,1.027718582,-2.771858214,43.41631362,0
0.01,0.001,10,0.000463676,7,48.41200743,46.36755517,-101.7530509,-99.49856576,877.6261532,-99.71232325,-106.663802,-94.8525295,2.05524561,49.74928288,1.337275449,-2.762280516,49.75391963,1.027718582,-2.771858214,43.41631362,0
0.01,0.001,10,0.000448356,7,46.64716581,44.83564461,-98.08967299,-95.98507705,881.8996445,-96.17717234,-102.6507885,-91.65252386,2.057682935,47.99253852,1.345372711,-2.884146737,47.99702209,1.028937584,-2.893758392,42.06843162,0
0.01,0.001,10,0.000606593,9,64.15135278,60.65933768,-136.9873476,-133.0701796,836.8412283,-133.5771396,-145.9360526,-124.9155591,2.074316032,66.53508978,2.383737006,-3.715801621,66.54115572,1.037252573,-3.725257281,55.73715722,0
0.01,0.001,10,0.000606593,9,64.15135278,60.65933768,-136.9873476,-133.0701796,836.8412283,-133.5771396,-145.9360526,-124.9155591,2.074316032,66.53508978,2.383737006,-3.715801621,66.54115572,1.037252573,-3.725257281,55.73715722,0
0.01,0.001,10,0.000585638,9,61.59518665,58.56378183,-131.6998373,-128.0567689,842.9296895,-128.5090939,-139.9640415,-120.4842157,2.079006102,64.02838444,2.43319779,-3.950305085,64.03424082,1.039598129,-3.959812936,53.95860067,0
0.01,0.001,10,0.000754991,11,80.90092574,75.49912588,-175.6607185,-169.4951018,792.5465404,-170.5349478,-190.4727108,-156.5180099,2.095094713,84.7475509,3.846625158,-4.75473565,84.75510081,1.047640679,-4.764067945,68.07063761,0
0.01,0.001,10,0.000754991,11,80.90092574,75.49912588,-175.6607185,-169.4951018,792.5465404,-170.5349478,-190.4727108,-156.5180099,2.095094713,84.7475509,3.846625158,-4.75473565,84.75510081,1.047640679,-4.764067945,68.07063761,0
