length,radius,LRratio,MaxCurv,MinCurv,EqCCval
0.01,0.001,10.0,0.9879711081638469,0.8340917141263428,0.8774557625215473
0.108,0.01,10.8,0.9992304914627635,0.8336168963172844,0.8832263865952864
0.059,0.005,11.8,1.0136505900636592,0.8337015053671735,0.8910816035968419
0.108,0.009,12.0,1.0168299546153283,0.8312067619161709,0.8930532492017562
0.108,0.008,13.5,1.0393894650047468,0.8287519617399164,0.9045448717051404
0.059,0.004,14.75,1.0576797531857784,0.8361037813848569,0.9144390220221427
0.108,0.007,15.429,1.068938707129618,0.830001288962128,0.9201856850680925
0.157,0.01,15.7,1.0731765476565929,0.8301216178703872,0.9215942397952751
0.157,0.009,17.444,1.1009934944114659,0.8294412576249632,0.9374414312608574
0.108,0.006,18.0,1.1103509784046453,0.8262479837922067,0.9412981219172935
0.157,0.008,19.625,1.1366804570060938,0.8288809949304273,0.9545418802101647
0.059,0.003,19.667,1.1374218533958937,0.828240065701829,0.9548950596152944
0.206,0.01,20.6,1.153083984566506,0.8277211603486208,0.962994330680933
0.108,0.005,21.6,1.1699445141731757,0.8276099008464082,0.9715935875196682
0.157,0.007,22.429,1.1839295251781554,0.8292436510755694,0.9786425752505139
0.206,0.009,22.889,1.1920945146660449,0.82699007206194,0.9816081873475094
0.255,0.01,25.5,1.2380689249064383,0.8248840366569721,1.0050948581387205
0.206,0.008,25.75,1.242602069867573,0.8244793536301647,1.0080498477742676
0.157,0.006,26.167,1.2498388833382954,0.8267085578480009,1.0100542046828624
0.108,0.004,27.0,1.2651648154498543,0.8242468022736893,1.019052458011365
0.255,0.009,28.333,1.2898840656920356,0.8214868002339448,1.031690886214739
0.206,0.007,29.429,1.3103331455914806,0.8205786280473621,1.0405102453633865
0.059,0.002,29.5,1.312039364131562,0.8176010914083831,1.041293732954481
0.304,0.01,30.4,1.328520376854022,0.8215586673268226,1.0490662389712175
0.157,0.005,31.4,1.347796451981375,0.8205181521365148,1.0582716125457101
0.255,0.008,31.875,1.3576274108333126,0.8139756181022565,1.064439662029084
0.304,0.009,33.778,1.394619186891324,0.8172750458773952,1.082064374609724
0.206,0.006,34.333,1.405837821622046,0.8161174099660251,1.0870880512617564
0.353,0.01,35.3,1.425401453738621,0.8152403551433862,1.0960654277952786
0.108,0.003,36.0,1.4398189888860813,0.8142164948314559,1.1031205421998846
0.255,0.007,36.429,1.4488514885500714,0.8131604044304759,1.1080019599078483
0.304,0.008,38.0,1.4819633408984005,0.8109834534915139,1.1243144135486005
0.353,0.009,39.222,1.5085716928298114,0.8070419329964027,1.136081528498111
0.157,0.004,39.25,1.5091510744907441,0.8068627633830269,1.136356692705846
0.402,0.01,40.2,1.529462359085589,0.810642366258285,1.1465664314714326
0.206,0.005,41.2,1.5523970526505209,0.8039608132953634,1.1566341015157835
0.255,0.006,42.5,1.58200953036427,0.8027207883827309,1.1719044685113715
0.304,0.007,43.429,1.6037080515997342,0.7995022583028789,1.1799291599781305
0.353,0.008,44.125,1.6204765334843025,0.7959093365768652,1.1877382838757797
0.402,0.009,44.667,1.6342791660140705,0.7874153264315635,1.1956614289075207
0.451,0.01,45.1,1.6433348066770153,0.8002164078092405,1.2000720293527964
0.5,0.01,50.0,1.7710498694087138,0.7668932903755583,1.2572999414032902
